z_mas,r_mas
0.38877071828167153,0.25611443066718886
0.438588012949263,0.2522770797328227
0.47337747963652954,0.26393195528839414
0.5209114067771642,0.2748215164722242
0.5580255607814111,0.28957896930478555
0.5835432258899025,0.30045146361882313
0.6044240919527013,0.3105451697165463
0.6241318352813517,0.31443641602920414
0.6392189481777972,0.3245256308454029
0.6531365313653136,0.32996277625872655
0.6670630971158786,0.33927589762752547
0.679823726182734,0.3454873399756393
0.6879242015399706,0.3408424566232031
0.699515300897897,0.3424018295684418
