z,r_up_ref,r_down_ref
0.0,0.0,0.0
0.0502378554810693,0.0,0.0
0.1004757109621386,1.5992985916198172,1.5992985916198172
0.1507135664432079,1.0854208280864022,1.0854208280864022
0.2009514219242772,1.3215651638877752,1.3215651638877752
0.2511892774053465,53.60443154353899,53.60443154353899
0.3014271328864158,0.0,0.0
0.3516649883674851,0.0,0.0
0.4019028438485544,0.0,0.0
0.4521406993296237,0.0,0.0
0.502378554810693,0.0,0.0
0.5526164102917623,74.77453240353451,74.77453240353451
0.6028542657728316,77.04325960010733,77.04325960010733
0.6530921212539009,82.66301073841781,82.66301073841781
0.7033299767349702,119.58483689075976,119.58483689075976
0.7535678322160395,126.59668654159944,126.59668654159944
0.8038056876971088,125.76664840138727,125.76664840138727
0.8540435431781781,131.938084755747,131.938084755747
0.9042813986592474,130.46987590960273,130.46987590960273
0.9545192541403167,124.63431357073824,124.63431357073824
1.004757109621386,115.12108917387525,115.12108917387525
1.0549949651024553,101.42037202048459,101.42037202048459
1.1052328205835247,110.41517360649023,110.41517360649023
1.1554706760645939,114.34561723800182,114.34561723800182
1.2057085315456633,114.53237167879477,114.53237167879477
1.2559463870267324,141.0912014359582,141.0912014359582
1.3061842425078019,115.97753188315112,115.97753188315112
1.356422097988871,121.69680416059823,121.69680416059823
1.4066599534699404,120.87898651113076,120.87898651113076
1.4568978089510096,126.37943206501134,126.37943206501134
1.507135664432079,118.79969911904038,118.79969911904038
1.5573735199131482,107.07151362809705,107.07151362809705
1.6076113753942176,102.19816051515487,102.19816051515487
1.657849230875287,101.97307694531624,101.97307694531624
1.7080870863563562,124.27158741385357,124.27158741385357
1.7583249418374256,126.76062761917608,126.76062761917608
1.8085627973184948,128.2175468737087,128.2175468737087
1.8588006527995642,124.8977985764394,124.8977985764394
1.9090385082806334,114.75000055600438,114.75000055600438
1.9592763637617028,114.93736506912514,114.93736506912514
2.009514219242772,116.89104433088347,116.89104433088347
2.0597520747238414,101.72531405499502,101.72531405499502
2.1099899302049105,124.408884675504,124.408884675504
2.1602277856859797,101.4903900545789,101.4903900545789
2.2104656411670494,112.69898467894213,112.69898467894213
2.2607034966481185,111.60450445781719,111.60450445781719
2.3109413521291877,1.8093124194954084,1.8093124194954084
2.361179207610257,0.6466625808777602,0.6466625808777602
2.4114170630913265,0.0,0.0
2.4616549185723957,1.2763161231828564,1.2763161231828564
2.511892774053465,0.9595034415321506,0.9595034415321506
2.5621306295345345,0.3340832360016675,0.3340832360016675
