z,r_up_ref,r_down_ref
0.0,0.0,0.0
0.050092976255494366,0.0,0.0
0.10018595251098873,0.0,0.0
0.1502789287664831,0.0,0.0
0.20037190502197746,0.0,0.0
0.25046488127747185,0.0,0.0
0.3005578575329662,0.0,0.0
0.35065083378846057,81.77782684142147,81.77782684142147
0.40074381004395493,3.2963882889242453,3.2963882889242453
0.4508367862994493,1.4851394072995112,1.4851394072995112
0.5009297625549437,1.0194703226377098,1.0194703226377098
0.5510227388104381,0.7697095827322423,0.7697095827322423
0.6011157150659324,0.587289157432845,0.587289157432845
0.6512086913214268,0.0,0.0
0.7013016675769211,0.0,0.0
0.7513946438324155,0.0,0.0
0.8014876200879099,0.9180137932369156,0.9180137932369156
0.8515805963434042,1.147179938191066,1.147179938191066
0.9016735725988986,1.5854132335261542,1.5854132335261542
0.9517665488543929,10.805420373132582,10.805420373132582
1.0018595251098874,61.175459793031486,61.175459793031486
1.0519525013653817,86.88445760146138,86.88445760146138
1.1020454776208761,75.62668645658032,75.62668645658032
1.1521384538763704,0.0,0.0
1.2022314301318648,0.0,0.0
1.252324406387359,0.0,0.0
1.3024173826428536,0.0,0.0
1.3525103588983478,0.0,0.0
1.4026033351538423,0.0,0.0
1.4526963114093365,0.0,0.0
1.502789287664831,0.0,0.0
1.5528822639203252,0.0,0.0
1.6029752401758197,0.0,0.0
1.6530682164313142,0.0,0.0
1.7031611926868084,0.0,0.0
1.753254168942303,0.0,0.0
1.8033471451977972,0.0,0.0
1.8534401214532916,0.0,0.0
1.9035330977087859,0.0,0.0
1.9536260739642803,0.0,0.0
2.003719050219775,109.23756302629079,109.23756302629079
2.053812026475269,136.05214948232285,136.05214948232285
2.1039050027307633,130.87739320072447,130.87739320072447
2.1539979789862578,185.27999620920326,185.27999620920326
2.3042769077527407,160.5380711842613,160.5380711842613
2.354369884008235,175.14489199779078,175.14489199779078
2.4044628602637297,181.6372373651528,181.6372373651528
2.454555836519224,146.1291487237012,146.1291487237012
2.504648812774718,0.0,0.0
2.5547417890302127,0.0,0.0
2.604834765285707,0.0,0.0
2.6549277415412016,0.0,0.0
2.7050207177966956,0.0,0.0
2.75511369405219,0.0,0.0
2.8052066703076846,0.0,0.0
2.855299646563179,92.3124033939897,92.3124033939897
2.905392622818673,82.26694550883101,82.26694550883101
2.9554855990741675,62.707255459105895,62.707255459105895
3.005578575329662,1.7681696501466058,1.7681696501466058
3.0556715515851565,0.9125945026703318,0.9125945026703318
3.1057645278406505,0.5197677801383999,0.5197677801383999
3.155857504096145,0.07818922492929682,0.07818922492929682
3.2059504803516394,0.0,0.0
3.256043456607134,0.0,0.0
3.3061364328626284,0.0,0.0
3.3562294091181224,0.0,0.0
3.406322385373617,0.0,0.0
3.4564153616291113,0.0,0.0
3.506508337884606,0.0,0.0
3.5566013141401,0.0,0.0
3.6066942903955943,0.0,0.0
3.6567872666510888,0.0,0.0
3.7068802429065832,0.0,0.0
3.7569732191620773,0.0,0.0
3.8070661954175717,0.0,0.0
3.857159171673066,0.0,0.0
3.9072521479285607,0.0,0.0
3.9573451241840547,0.0,0.0
4.00743810043955,0.0,0.0
4.057531076695044,0.0,0.0
4.107624052950538,0.0,0.0
4.157717029206032,0.0,0.0
4.207810005461527,0.0,0.0
4.257902981717021,0.0,0.0
4.3079959579725156,0.0,0.0
4.35808893422801,0.0,0.0
4.4081819104835045,0.0,0.0
4.458274886738999,0.0,0.0
4.5083678629944925,0.0,0.0
4.558460839249987,0.0,0.0
4.6085538155054815,0.0,0.0
4.658646791760976,0.0,0.0
4.909111673038448,135.56417910750176,135.56417910750176
4.959204649293942,143.0101078532918,143.0101078532918
5.009297625549436,129.7362862715444,129.7362862715444
5.059390601804931,116.8945025280701,116.8945025280701
5.109483578060425,116.63613445608495,116.63613445608495
5.15957655431592,121.97923677775535,121.97923677775535
5.209669530571414,109.47120670302584,109.47120670302584
5.259762506826909,0.0,0.0
5.309855483082403,0.0,0.0
5.359948459337897,0.0,0.0
5.410041435593391,0.0,0.0
5.460134411848886,0.0,0.0
5.51022738810438,0.0,0.0
5.560320364359875,0.0,0.0
5.610413340615369,0.0,0.0
5.660506316870864,0.0,0.0
5.710599293126358,0.0,0.0
5.7606922693818525,0.0,0.0
5.810785245637346,0.0,0.0
5.860878221892841,0.0,0.0
5.910971198148335,0.0,0.0
5.9610641744038295,0.0,0.0
6.011157150659324,0.0,0.0
6.0612501269148185,0.0,0.0
6.111343103170313,0.0,0.0
6.161436079425807,0.0,0.0
6.211529055681301,0.0,0.0
6.2616220319367955,0.0,0.0
6.31171500819229,0.0,0.0
6.361807984447784,0.0,0.0
6.411900960703279,0.0,0.0
6.461993936958773,0.0,0.0
6.512086913214268,0.0,0.0
6.562179889469762,102.28221156385771,102.28221156385771
6.612272865725257,0.0,0.0
6.66236584198075,0.0,0.0
6.712458818236245,0.0,0.0
6.762551794491739,0.0,0.0
6.812644770747234,0.0,0.0
6.862737747002728,0.26110805013331806,0.26110805013331806
6.912830723258223,0.41359495723069645,0.41359495723069645
6.962923699513717,0.5814718219055642,0.5814718219055642
7.013016675769212,0.7489774659512448,0.7489774659512448
7.063109652024705,0.9443956417246092,0.9443956417246092
7.1132026282802,1.2375669983178872,1.2375669983178872
7.163295604535694,1.7618396879514486,1.7618396879514486
7.213388580791189,4.441093941575293,4.441093941575293
7.263481557046683,65.71638826593362,65.71638826593362
7.3135745333021775,84.29556244935749,84.29556244935749
7.363667509557672,89.84811703159502,89.84811703159502
7.4137604858131665,116.94153207360134,116.94153207360134
7.463853462068661,98.65239809188725,98.65239809188725
7.5139464383241545,98.68609358256406,98.68609358256406
7.564039414579649,115.76967384818707,115.76967384818707
7.6141323908351435,115.80241259451277,115.80241259451277
7.664225367090638,122.21305134357107,122.21305134357107
7.714318343346132,106.10649519693688,106.10649519693688
7.764411319601627,114.07756984011236,114.07756984011236
7.814504295857121,132.84605959884675,132.84605959884675
7.864597272112616,121.04266430778152,121.04266430778152
7.914690248368109,131.4215885427936,131.4215885427936
7.964783224623604,130.7372802548237,130.7372802548237
8.0148762008791,128.1004146255907,128.1004146255907
8.064969177134593,146.38757191700157,146.38757191700157
8.115062153390088,134.88555124318538,134.88555124318538
8.165155129645582,118.72387875161836,118.72387875161836
8.215248105901075,105.94347805071732,105.94347805071732
8.26534108215657,139.78903499525282,139.78903499525282
8.315434058412064,128.93669611310304,128.93669611310304
8.36552703466756,116.91150934642911,116.91150934642911
8.415620010923053,111.17116618603441,111.17116618603441
8.465712987178549,127.83123472749382,127.83123472749382
8.515805963434042,123.82815128941323,123.82815128941323
8.565898939689536,108.76003310240931,108.76003310240931
8.615991915945031,141.50344803314687,141.50344803314687
8.666084892200525,133.7227076419083,133.7227076419083
8.71617786845602,120.50428036042126,120.50428036042126
8.766270844711514,124.90015235743085,124.90015235743085
8.816363820967009,125.31134532865335,125.31134532865335
8.866456797222503,115.54643054042361,115.54643054042361
8.916549773477998,120.8558132105267,120.8558132105267
8.966642749733492,111.74842161887842,111.74842161887842
9.016735725988985,107.6327570583951,107.6327570583951
9.06682870224448,114.01656938061012,114.01656938061012
9.116921678499974,120.54901437721762,120.54901437721762
9.16701465475547,125.36042705338447,125.36042705338447
9.217107631010963,94.00210942419287,94.00210942419287
9.267200607266458,98.40973255041072,98.40973255041072
9.317293583521952,110.47379667998352,110.47379667998352
9.367386559777447,113.13339309184295,113.13339309184295
9.41747953603294,102.0242608234922,102.0242608234922
9.467572512288434,114.82832120684758,114.82832120684758
9.51766548854393,110.61388693575154,110.61388693575154
9.567758464799423,123.80286299444039,123.80286299444039
9.617851441054919,121.70002165387027,121.70002165387027
9.667944417310412,121.56788589320996,121.56788589320996
9.718037393565908,114.3352895711602,114.3352895711602
9.768130369821401,104.175995923731,104.175995923731
9.818223346076897,136.85340237237423,136.85340237237423
9.86831632233239,116.774950910002,116.774950910002
9.918409298587884,131.32994220624286,131.32994220624286
9.96850227484338,121.44327542428374,121.44327542428374
10.018595251098873,103.6071693061421,103.6071693061421
10.068688227354368,125.25080108405346,125.25080108405346
10.118781203609862,123.2921006560406,123.2921006560406
10.168874179865357,135.65687482722214,135.65687482722214
10.21896715612085,105.14859744044185,105.14859744044185
10.269060132376344,114.85336903846435,114.85336903846435
10.31915310863184,126.02736142007493,126.02736142007493
10.369246084887333,134.56151941000925,134.56151941000925
10.419339061142828,111.757653181995,111.757653181995
10.469432037398322,106.60668591375956,106.60668591375956
