z,r_up_ref,r_down_ref
-4.0,0.14605934866804432,0.14605934866804432
-3.9407407407407407,0.14497339049155636,0.14497339049155636
-3.8814814814814813,0.14387923605545463,0.14387923605545463
-3.8222222222222224,0.14277669692630232,0.14277669692630232
-3.762962962962963,0.1416655773378598,0.1416655773378598
-3.7037037037037037,0.1405456737852613,0.1405456737852613
-3.6444444444444444,0.13941677458985,0.13941677458985
-3.585185185185185,0.13827865943203596,0.13827865943203596
-3.525925925925926,0.1371310988492579,0.1371310988492579
-3.466666666666667,0.1359738536958076,0.1359738536958076
-3.4074074074074074,0.13480667456091647,0.13480667456091647
-3.348148148148148,0.13362930114109253,0.13362930114109253
-3.2888888888888888,0.13244146156223413,0.13244146156223413
-3.2296296296296294,0.13124287164651913,0.13124287164651913
-3.17037037037037,0.13003323411846926,0.13003323411846926
-3.111111111111111,0.12881223774390613,0.12881223774390613
-3.051851851851852,0.12757955639473179,0.12757955639473179
-2.9925925925925925,0.1263348480315724,0.1263348480315724
-2.9333333333333336,0.12507775359529147,0.12507775359529147
-2.8740740740740742,0.12380789579719219,0.12380789579719219
-2.814814814814815,0.12252487779635754,0.12252487779635754
-2.7555555555555555,0.12122828175098539,0.12122828175098539
-2.696296296296296,0.11991766722872926,0.11991766722872926
-2.637037037037037,0.11859256945890075,0.11859256945890075
-2.5777777777777775,0.11725249740687038,0.11725249740687038
-2.518518518518518,0.1158969316480471,0.1158969316480471
-2.4592592592592593,0.11452532201533445,0.11452532201533445
-2.4,0.11313708498984762,0.11313708498984762
-2.3407407407407406,0.11173160079979143,0.11173160079979143
-2.2814814814814817,0.11030821018658539,0.11030821018658539
-2.2222222222222223,0.10886621079036347,0.10886621079036347
-2.162962962962963,0.10740485309861843,0.10740485309861843
-2.1037037037037036,0.10592333589167098,0.10592333589167098
-2.0444444444444443,0.1044208011064065,0.1044208011064065
-1.985185185185185,0.102896328024802,0.102896328024802
-1.925925925925926,0.10134892667547893,0.10134892667547893
-1.8666666666666667,0.09977753031397177,0.09977753031397177
-1.8074074074074074,0.09818098681944232,0.09818098681944232
-1.748148148148148,0.09655804881066858,0.09655804881066858
-1.6888888888888887,0.0949073622402783,0.0949073622402783
-1.6296296296296298,0.09322745317068014,0.09322745317068014
-1.5703703703703704,0.0915167123643289,0.0915167123643289
-1.511111111111111,0.08977337722988514,0.08977337722988514
-1.4518518518518517,0.08799551054765925,0.08799551054765925
-1.3925925925925924,0.08618097524295695,0.08618097524295695
-1.333333333333333,0.08432740427115677,0.08432740427115677
-1.2740740740740741,0.08243216440440626,0.08243216440440626
-1.2148148148148148,0.08049231233899926,0.08049231233899926
-1.1555555555555554,0.08,0.08
-1.096296296296296,0.08,0.08
-1.0370370370370368,0.08,0.08
-0.9777777777777779,0.08,0.08
-0.9185185185185185,0.08,0.08
-0.8592592592592592,0.08,0.08
-0.7999999999999998,0.08,0.08
-0.7407407407407405,0.08,0.08
-0.6814814814814811,0.08,0.08
-0.6222222222222222,0.08,0.08
-0.5629629629629629,0.08,0.08
-0.5037037037037035,0.08,0.08
-0.4444444444444442,0.08,0.08
-0.38518518518518485,0.08,0.08
-0.32592592592592595,0.08,0.08
-0.2666666666666666,0.08,0.08
-0.20740740740740726,0.08,0.08
-0.14814814814814792,0.08,0.08
-0.08888888888888857,0.08,0.08
-0.029629629629629672,0.08,0.08
0.029629629629630116,0.08,0.08
0.08888888888888946,0.08,0.08
0.14814814814814792,0.08,0.08
0.20740740740740726,0.08,0.08
0.2666666666666666,0.08,0.08
0.32592592592592595,0.08,0.08
0.3851851851851853,0.08,0.08
0.44444444444444464,0.08,0.08
0.503703703703704,0.08,0.08
0.5629629629629633,0.08,0.08
0.6222222222222227,0.08,0.08
0.681481481481482,0.08,0.08
0.7407407407407405,0.08,0.08
0.7999999999999998,0.08,0.08
0.8592592592592592,0.08,0.08
0.9185185185185185,0.08,0.08
0.9777777777777779,0.08,0.08
1.0370370370370372,0.08,0.08
1.0962962962962965,0.08,0.08
1.155555555555556,0.08,0.08
1.2148148148148152,0.08049231233899928,0.08049231233899928
1.2740740740740746,0.08243216440440629,0.08243216440440629
1.333333333333334,0.0843274042711568,0.0843274042711568
1.3925925925925924,0.08618097524295695,0.08618097524295695
1.4518518518518517,0.08799551054765925,0.08799551054765925
1.511111111111111,0.08977337722988514,0.08977337722988514
1.5703703703703704,0.0915167123643289,0.0915167123643289
1.6296296296296298,0.09322745317068014,0.09322745317068014
1.688888888888889,0.09490736224027833,0.09490736224027833
1.7481481481481485,0.09655804881066858,0.09655804881066858
1.8074074074074078,0.09818098681944233,0.09818098681944233
1.8666666666666671,0.09977753031397178,0.09977753031397178
1.9259259259259265,0.10134892667547896,0.10134892667547896
1.9851851851851858,0.10289632802480203,0.10289632802480203
2.0444444444444443,0.1044208011064065,0.1044208011064065
2.1037037037037036,0.10592333589167098,0.10592333589167098
2.162962962962963,0.10740485309861843,0.10740485309861843
2.2222222222222223,0.10886621079036347,0.10886621079036347
2.2814814814814817,0.11030821018658539,0.11030821018658539
2.340740740740741,0.11173160079979143,0.11173160079979143
2.4000000000000004,0.11313708498984762,0.11313708498984762
2.4592592592592597,0.11452532201533448,0.11452532201533448
2.518518518518519,0.11589693164804711,0.11589693164804711
2.5777777777777784,0.11725249740687041,0.11725249740687041
2.6370370370370377,0.11859256945890077,0.11859256945890077
2.696296296296296,0.11991766722872926,0.11991766722872926
2.7555555555555555,0.12122828175098539,0.12122828175098539
2.814814814814815,0.12252487779635754,0.12252487779635754
2.8740740740740742,0.12380789579719219,0.12380789579719219
2.9333333333333336,0.12507775359529147,0.12507775359529147
2.992592592592593,0.1263348480315724,0.1263348480315724
3.0518518518518523,0.12757955639473179,0.12757955639473179
3.1111111111111116,0.12881223774390613,0.12881223774390613
3.170370370370371,0.1300332341184693,0.1300332341184693
3.2296296296296303,0.13124287164651915,0.13124287164651915
3.2888888888888888,0.13244146156223413,0.13244146156223413
3.348148148148148,0.13362930114109253,0.13362930114109253
3.4074074074074074,0.13480667456091647,0.13480667456091647
3.466666666666667,0.1359738536958076,0.1359738536958076
3.525925925925926,0.1371310988492579,0.1371310988492579
3.5851851851851855,0.13827865943203596,0.13827865943203596
3.644444444444445,0.13941677458985,0.13941677458985
3.703703703703704,0.1405456737852613,0.1405456737852613
3.7629629629629635,0.1416655773378598,0.1416655773378598
3.822222222222223,0.14277669692630235,0.14277669692630235
3.881481481481482,0.14387923605545463,0.14387923605545463
3.9407407407407407,0.14497339049155636,0.14497339049155636
4.0,0.14605934866804432,0.14605934866804432
