side,MSE,MAE,bias,L0,n_pts,coverage_frac
up,0.0010975985962917185,0.028003715008950193,-0.0050723745133360735,1.7263333333333335,69,0.5073529411764706
down,0.0010775436148395916,0.02612317243965317,-0.018251586211891074,1.7263333333333335,68,0.5
